# Solar Reserve — History Export,24h,2026-05-05T23:13:41.878Z

# Current Input Snapshot (for reference)
entity_id,state,unit_of_measurement
sensor.ha_solar_reserve_overnight_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_overnight_load,12.74,kWh
sensor.ha_solar_reserve_daytime_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_daytime_load,12.75,kWh
sensor.ha_solar_reserve_calculated_surplus,21.91,kWh
sensor.ha_solar_reserve_energy_available,49.34,kWh
sensor.ha_solar_reserve_energy_required,27.43,kWh
sensor.ha_solar_reserve_solar_counted_today,44.38,kWh
sensor.ha_solar_reserve_current_battery_charge,4.96,kWh
sensor.ha_solar_reserve_night_data_days_collected,7,days
sensor.ha_solar_reserve_day_data_days_collected,7,days
sensor.ha_solar_reserve_battery_capacity,24.18,kWh
sensor.ha_solar_reserve_managed_load_usage,1.622,kWh
binary_sensor.ha_solar_reserve_permission,on,

# Current Permission Sensor Attributes
attribute,value
calculated_surplus_kwh,21.91
estimated_runtime_hours,7.3
dynamic_expected_load_kwh,25.01
tomorrow_deficit_kwh,0
avg_night_load_kwh,12.74
avg_day_load_kwh,12.75
raw_home_energy,1130.69
raw_managed_load,126.53076
raw_solar_today,44.3793
raw_solar_tomorrow,50.4322
raw_battery_percent,20.5
battery_sensor_type,percentage
is_night,false
dyn_rest_of_day_kwh,10.84
dyn_rest_of_night_kwh,12.74
dyn_morning_buffer_kwh,1.43
dyn_emergency_reserve_kwh,2.42
device_class,power
icon,mdi:sun-snowflake
friendly_name,HA Solar Reserve Permission

# Historical Data
timestamp,entity_id,display_name,state,unit_of_measurement
2026-05-04T23:48:00.423625+00:00,undefined,undefined,22.92,
2026-05-04T23:48:17.537253+00:00,undefined,undefined,22.95,
2026-05-04T23:48:34.356533+00:00,undefined,undefined,22.97,
2026-05-04T23:48:50.410722+00:00,undefined,undefined,23.0,
2026-05-04T23:49:01.327726+00:00,undefined,undefined,23.01,
2026-05-04T23:49:12.469923+00:00,undefined,undefined,23.03,
2026-05-04T23:49:30.411547+00:00,undefined,undefined,23.05,
2026-05-04T23:49:47.449031+00:00,undefined,undefined,23.08,
2026-05-04T23:50:00.152680+00:00,undefined,undefined,22.6,
2026-05-04T23:50:05.545549+00:00,undefined,undefined,22.63,
2026-05-04T23:50:22.612090+00:00,undefined,undefined,22.65,
2026-05-04T23:50:38.437330+00:00,undefined,undefined,22.68,
2026-05-04T23:50:56.331940+00:00,undefined,undefined,22.7,
2026-05-04T23:51:01.450539+00:00,undefined,undefined,22.71,
2026-05-04T23:51:12.412389+00:00,undefined,undefined,22.74,
2026-05-04T23:51:29.642721+00:00,undefined,undefined,22.76,
2026-05-04T23:51:47.413971+00:00,undefined,undefined,22.78,
2026-05-04T23:52:04.454926+00:00,undefined,undefined,22.82,
2026-05-04T23:52:21.596477+00:00,undefined,undefined,22.84,
2026-05-04T23:52:44.504304+00:00,undefined,undefined,22.87,
2026-05-04T23:53:01.339885+00:00,undefined,undefined,22.89,
2026-05-04T23:53:06.670195+00:00,undefined,undefined,22.9,
2026-05-04T23:53:18.437476+00:00,undefined,undefined,22.92,
2026-05-04T23:53:30.315399+00:00,undefined,undefined,22.95,
